Archivo,Predicción
395e48604bba41749658ea56370ee664_20230415t15_31_utc.txt,Neutral
3cd94688360b47659f4c1cb9ca941d37_20230415t13_42_utc.txt,Neutral
40fd7c79a2c245dabae3756a22ce065d_20230415t15_22_utc.txt,Neutral
4143a33a227843758dbf07e067633a0b_20230415t16_05_utc.txt,Neutral
41663fe99f68481d85a11fc4f18287a1_20230415t14_36_utc.txt,Neutral
43d0021234774b82aee1cf256b486038_20230415t14_26_utc.txt,Neutral
483dd9e87fd94420b2f314b777fbbf34_20230415t16_00_utc.txt,Neutral
4876cd90198044df909d77e8a3adfc28_20230415t16_49_utc.txt,Neutral
488a8a211e89456aa5cb49db6c95c97e_20230415t15_51_utc.txt,Neutral
4e77be578d6143829f1a3625ce750cfb_20230415t15_42_utc.txt,Neutral
4faccbbf1aa641b9a8b040f81e2c3611_20230415t15_36_utc.txt,Negativo
54a5d96604a64a9192ce4a0fdbb9c7c8_20230415t13_45_utc.txt,Neutral
565d84e1e2f542aa83b9c4efb62a9d44_20230415t15_30_utc.txt,Neutral
5784d80e51e84d3f9fefb30c957f8e91_20230415t13_27_utc.txt,Neutral
59efa8c8167b424c8cacbb3f76df94cb_20230415t15_56_utc.txt,Neutral
5e09558c28744736b8a523cde3366875_20230415t16_33_utc.txt,Neutral
5f59a3bc791643d0827fa011e0703cdc_20230415t16_10_utc.txt,Neutral
644425d8eca24295bc15dc678aacde59_20230415t16_15_utc.txt,Neutral
6da6e049c8e74afc8a142919df0b7d8c_20230415t14_33_utc.txt,Neutral
6f7e9034fa45482aa3ac42da48afec9d_20230415t15_13_utc.txt,Neutral
7762a28dd9e842f8818b73eef5c82835_20230415t14_08_utc.txt,Neutral
78cab8b96d3f41f4a26c0033cbacc3d4_20230415t15_21_utc.txt,Neutral
794fb86ab60d4b4aad67afdd63b620f9_20230415t16_19_utc.txt,Neutral
7b39ef063ca84c018e350c7cc7b4e07a_20230415t13_53_utc.txt,Neutral
7e78728771d849bf9744551fcaf30d67_20230415t16_37_utc.txt,Neutral
83d09db2bedb4dac9c8317dd005a306f_20230415t15_20_utc.txt,Neutral
8454ed9016f945d2a69388b7eb73eaae_20230415t15_16_utc.txt,Neutral
8a9e90a7378e44c8b12ec65ac422ee79_20230415t13_57_utc.txt,Neutral
8cfbb958413a4751a45449e53ef14af9_20230415t13_59_utc.txt,Neutral
9785407406dc4fb0817655b4c82a2175_20230415t16_14_utc.txt,Neutral
97d98e1b95bb4789b89cc2a5ee0d3a0b_20230415t13_41_utc.txt,Neutral
9a1dcdaebafd4701b03d1edd8d0cfcf2_20230415t13_31_utc.txt,Neutral
a0f86d9095554c4cb75307e16a16e99f_20230415t13_58_utc.txt,Neutral
a1b3a2b4557e4e1885e4ef633d330cef_20230415t16_22_utc.txt,Neutral
a307b6fb84a74880a1ea00809410d22c_20230415t13_29_utc.txt,Neutral
a4108b716c634935931e67e290ebf5ed_20230415t15_27_utc.txt,Negativo
a71322ecda874346baedf605a9f8b5b2_20230415t15_57_utc.txt,Neutral
bd219ad4a971424981cf7eaabe47847f_20230415t15_55_utc.txt,Neutral
c36d9fac716545818cf85996d3de4c13_20230415t16_25_utc.txt,Neutral
c6d769d13c1745509a8b907d0436a157_20230415t16_38_utc.txt,Neutral
cb63cab9a1294bb0b43632c54755422d_20230415t14_59_utc.txt,Neutral
d2be3314363b40f09a2f683c8bc4ff84_20230415t13_55_utc.txt,Neutral
d301988fd7454837a22f8f523ece089e_20230415t16_02_utc.txt,Neutral
d8de1f287ee144e2873cab0b784b1fc6_20230415t15_11_utc.txt,Neutral
db08ee3352eb45baa69b920590773df7_20230415t13_46_utc.txt,Neutral
e3a5c2c5727b4bd598f06c8f7e88f528_20230415t15_19_utc.txt,Negativo
e40f06ea792244148399c9014e2dcf48_20230415t15_48_utc.txt,Neutral
e8b27442e140404d873d421dee5393c3_20230415t13_18_utc.txt,Neutral
eb790c327abb4ae4b3419de02f428c7b_20230415t14_52_utc.txt,Neutral
ee3b2f1f0c5d4354bb33c66fd149c3b2_20230415t15_24_utc.txt,Neutral
ee79615b5cd840a38dceb7c4a77b3192_20230415t16_30_utc.txt,Neutral
f869ac5bd4244ca0b9bf2dfb10ac77d3_20230415t16_20_utc.txt,Neutral
fad8f691ea4649729aa116f37373c4bf_20230415t13_33_utc.txt,Neutral
fb9b79aec05e4539b00ae25228b9f76f_20230415t13_52_utc.txt,Neutral
05d553d3-15e6-4018-bfa6-e3ea120e29c8_20230422T14_54_UTC.txt,Neutral
0728d6c4-4d61-44fb-9311-3005890db8c6_20230422T14_54_UTC.txt,Negativo
089454f4-614f-4e7a-8c75-f3ff84c577f2_20230422T13_27_UTC.txt,Neutral
0d8bbe9b-d20c-4f29-bf85-82e5cc07ce64_20230422T16_55_UTC.txt,Neutral
13ee3fa8-5e4d-4d7a-a856-0e0053f04a0d_20230422T16_31_UTC.txt,Neutral
154104a0-af4b-43c4-ac53-7dcfb0b1fd5a_20230422T15_55_UTC.txt,Neutral
164a732e-d1e9-4514-9261-3312ec7bae79_20230422T13_38_UTC.txt,Neutral
1dcbb12a-3984-4aba-a69f-478967aa0a56_20230422T16_20_UTC.txt,Neutral
23f5eeaf-2e7c-4bfa-a680-4dbec95bfe89_20230422T13_31_UTC.txt,Neutral
29406a02-deba-4efe-99df-7f05467d41bf_20230422T15_03_UTC.txt,Neutral
3493df4a-f52d-4477-8508-579ddf93be38_20230422T15_02_UTC.txt,Neutral
37143e2b-996c-4292-8641-e1bc094a2821_20230422T14_21_UTC.txt,Neutral
37705508-eb41-4fa8-9205-8caa2f631afc_20230422T14_46_UTC.txt,Neutral
39668e94-ebc7-43e9-bf34-252b07cf0c64_20230422T14_35_UTC.txt,Neutral
39c7e1af-a983-423d-9560-8be3325f39cd_20230422T15_49_UTC.txt,Neutral
3a3b2973-f7f0-41d0-937b-b5dfb7544b5e_20230422T16_43_UTC.txt,Neutral
404e7931-5fb3-4802-b4dc-719a3f5cb20f_20230422T16_22_UTC.txt,Neutral
40616391-4881-4ab6-b1c9-b3140e0c8410_20230422T13_34_UTC.txt,Neutral
433c0e26-0ddb-4067-8dec-8182793d3124_20230422T16_33_UTC.txt,Neutral
44de0213-a511-4255-8cb6-93411019f156_20230422T15_11_UTC.txt,Neutral
48042829-f387-4955-b61a-ddf3c5dd66fa_20230422T13_35_UTC.txt,Neutral
4821b13c-ee4a-4a30-acb4-93ece09b18ca_20230422T13_40_UTC.txt,Neutral
50ab3124-681d-4200-b15a-b449cd1d77b9_20230422T16_37_UTC.txt,Neutral
532981b7-adc4-49c4-9ecd-ee362b6e2c4a_20230422T16_10_UTC.txt,Negativo
590bfa9f-77f3-460e-b4b2-a18cebdb2820_20230422T14_47_UTC.txt,Neutral
5f962505-9986-4a5b-a3b2-db50d252214f_20230422T15_46_UTC.txt,Neutral
67fe5a14-63cc-4787-8cec-50e1ee7bf025_20230422T15_47_UTC.txt,Neutral
68d84c60-35fb-46cf-ac27-b6730f690e18_20230422T13_39_UTC.txt,Neutral
699779ac-ada3-46a4-a762-897b3e50fc32_20230422T13_45_UTC.txt,Neutral
6ba1c276-36e2-42aa-9b2b-f4e47614f435_20230422T14_28_UTC.txt,Neutral
6f5a73d9-c565-485c-b0a2-a59e77f82a20_20230422T16_15_UTC.txt,Neutral
71c3a935-7b26-437e-921e-0578d6591052_20230422T16_17_UTC.txt,Neutral
733244c0-66e8-4b26-81c5-005033abdf6b_20230422T16_24_UTC.txt,Neutral
75281220-b17f-42fe-8d46-16ba933670d1_20230422T15_54_UTC.txt,Neutral
7549f180-369b-4390-8705-822dea512a7f_20230422T14_31_UTC.txt,Neutral
79edf837-ebfa-4f86-a72c-851eff781f38_20230422T14_19_UTC.txt,Neutral
7e8087d6-6ea5-44b1-ad47-6f542beadd9e_20230422T14_22_UTC.txt,Neutral
7f58f35e-e971-4150-b256-57e191b33e11_20230422T13_25_UTC.txt,Neutral
82309327-c2e7-4eb3-ba78-6d53fad93d26_20230422T14_27_UTC.txt,Neutral
89b759d9-b6d0-4fe5-bf09-e35d1a18e38f_20230422T15_02_UTC.txt,Neutral
93075abf-1134-4da8-b90e-475d8039ff9c_20230422T15_06_UTC.txt,Neutral
9750b201-23fa-4c0c-997c-e692e36c6bd5_20230422T16_03_UTC.txt,Neutral
9a0f8517-b225-4f3d-939a-bde8c09100f6_20230422T15_41_UTC.txt,Neutral
9e4d53b7-64df-4ef3-bb5b-67473d765d7d_20230422T16_40_UTC.txt,Neutral
acc9f0ba-ebea-4f0b-b603-ff54c45928a4_20230422T15_51_UTC.txt,Negativo
bd541769-2d57-4967-823c-88fa36288e20_20230422T16_26_UTC.txt,Neutral
beaafdc4-bb5e-467d-ac18-3346e5812f04_20230422T14_56_UTC.txt,Neutral
c08123cc-5b6e-4eff-8c34-dae414f80cbb_20230422T16_16_UTC.txt,Neutral
c15c3250-1598-476a-a1a3-78f84e4db0e0_20230422T15_42_UTC.txt,Neutral
c19a6c90-36d2-4a7d-9b15-297271c9787b_20230422T16_28_UTC.txt,Neutral
c245f34a-a05a-4ae1-9b3b-8187bdfbc52b_20230422T14_34_UTC.txt,Neutral
c7f6749f-b15b-4e10-8745-66bb61b7e8ee_20230422T15_08_UTC.txt,Neutral
c9e75cee-d79e-4ca9-a7c4-20ed40a2486c_20230422T15_57_UTC.txt,Neutral
cbd20465-103d-4583-9679-422dccedf813_20230422T15_16_UTC.txt,Neutral
d0d8509a-4c84-43a8-beed-608d24063e1a_20230422T14_07_UTC.txt,Neutral
e0634185-f435-4c04-8991-26946e3a6543_20230422T15_04_UTC.txt,Negativo
e5ffd63b-f1f6-424e-8dbf-33d7868c88a3_20230422T15_17_UTC.txt,Neutral
ea0be619-7976-4652-a634-613e83bfdfd9_20230422T15_34_UTC.txt,Neutral
ec8aa41a-dfd3-4a1c-b2ea-edf54a679155_20230422T16_33_UTC.txt,Neutral
f0ce8351-89d2-4f94-9637-98b0c767da18_20230422T15_08_UTC.txt,Neutral
f5115b4d-cbe0-4337-a924-25b1341f62f4_20230422T14_31_UTC.txt,Neutral
f5738c9f-909d-4f56-a5b1-c22b5c2f28b3_20230422T15_28_UTC.txt,Neutral
f7e4b691-c321-4c6f-b91f-83888f96589f_20230422T14_39_UTC.txt,Neutral
f855e0cc-0eb5-4e7d-85c4-c75afc91d583_20230422T16_51_UTC.txt,Neutral
fd3a31f0-339b-4dd3-81de-508b1311f3fd_20230422T14_53_UTC.txt,Negativo
fea424c2-f879-432b-88fd-240cd0536300_20230422T15_56_UTC.txt,Neutral
0f7f97003c8b4ca6a4694c90ffbc7a08_20230429t14_08_utc.txt,Neutral
1807b779dcf041f89c8070561aebbf4a_20230429t13_39_utc.txt,Neutral
1ccb941cc4874df187d3a9be911b6087_20230429t14_29_utc.txt,Neutral
2a60bc828e704276aee65cc329bd7e0e_20230429t16_20_utc.txt,Neutral
2ad5de2a875d4affa907ebe3a2d8851d_20230429t13_55_utc.txt,Negativo
4678f55df9514a69aa841da1849fc74a_20230429t14_55_utc.txt,Neutral
471aff115d0a4b41824fb20e4e3ee321_20230429t16_02_utc.txt,Positivo
536cbdf0d4e847c583847bcedf902be6_20230429t13_45_utc.txt,Neutral
541547d2ee684fbb8b63a2eefacbbfe0_20230429t16_27_utc.txt,Neutral
5d9a33ca81b84da1a6b4c27e48478d9a_20230429t16_35_utc.txt,Neutral
5eb45b6bb1fb4d2cabbeb97177e0c6a5_20230429t13_48_utc.txt,Neutral
685804b776ff4debae850348cd2e662c_20230429t14_32_utc.txt,Neutral
6e252fefeb444526b3ecc3de6eaca9d8_20230429t16_59_utc.txt,Neutral
70430579661e41e2b38406960f3dd126_20230429t16_34_utc.txt,Neutral
719fdfe4c3074062a6c1d9d3f6717e64_20230429t14_51_utc.txt,Neutral
72204d99e6544ca0bfffb27f861cf709_20230429t13_28_utc.txt,Neutral
729128961c774991a8df43e764c5ea76_20230429t14_28_utc.txt,Neutral
813de3200552473db261651605877886_20230429t14_30_utc.txt,Neutral
850ce4070de14b7b81b8aae833bf83b5_20230429t14_23_utc.txt,Neutral
851fbf7af5c045559c9dafbd38fbc6d4_20230429t15_04_utc.txt,Negativo
856cd9fe4c7d4a7a880ceb480ca78834_20230429t15_41_utc.txt,Neutral
8b8eacfb94eb4229a8b9c4366158ae38_20230429t16_09_utc.txt,Neutral
